Model,Serial Number,Material,Vendor Material Number,Material Description, Unit,Qty,Task List Group Key,Maintenance Plan Description,Maintenance Item,Maintenance Item Description,Func Loc,T1,T2,Desc w/o ID & Task,Serial Prefix,Spx Xref Key,FuncLoc Key,PN Key,Final CC,Final MC,AMT Key
16,F5200103,21050056,11R1242,ENGINE;13L;6;CAT;11R,EA,1,331041,12W566 Engine,51657382,12W566 C/O Engine,ENGD,12W566,C/O,Engine,F520,F520Engine,F520ENGD,F52011R1242Engine,1000 - ENGINE,00 - (NONE),100000
16,NN500243,21050056,11R1242,ENGINE;13L;6;CAT;11R,EA,1,322034,12R569 Engine,51628640,12R569 C/O Engine,ENGD,12R569,C/O,Engine,NN50,NN50Engine,NN50ENGD,NN5011R1242Engine,1000 - ENGINE,00 - (NONE),100000
16,NN500243,20946704,20R3693,TURBOCHARGER;CAT;20R,EA,1,322070,12R569 Engine,51628642,12R569 C/O Turbocharger,ENGD .TURB.TURB,12R569,C/O,Turbocharger,NN50,NN50Turbocharger,NN50ENGD .TURB.TURB,NN5020R3693Turbocharger,1052 - TURBOCHARGER,00 - (NONE),105200
16,NN500243,20946712,6271736,AFTERCOOLER;CAT;391-,EA,1,322008,12R569 C/O After Cooler,51628130,12R569 C/O After Cooler,ENGD .INEX.AFCO,12R569,C/O,After Cooler,NN50,NN50After Cooler,NN50ENGD .INEX.AFCO,NN506271736After Cooler,1063 - AFTERCOOLER,00 - (NONE),106300
16,NN500243,20040943,10R3262,"INJECTOR,FUEL;RM;CAT",EA,6,322044,12R569 Engine,51628646,12R569 C/O Fuel Injectors,ENGD .FUEL.INJE,12R569,C/O,Fuel Injectors,NN50,NN50Fuel Injectors,NN50ENGD .FUEL.INJE,NN5010R3262Fuel Injectors,1251 - FUEL INJECTION PUMP,00 - (NONE),125100
16,F5200103,,,,,,331044,12W566 C/O Engine Radiator,51657370,12W566 C/O Engine Radiator,ENGD .ENCS.RADI,12W566,C/O,Engine Radiator,F520,F520Engine Radiator,F520ENGD .ENCS.RADI,F520Engine Radiator,1353 - RADIATOR,00 - (NONE),135300
16,F5200103,,,,,,331053,12W566 C/O Transmission,51657380,12W566 C/O Transmission,TRAN .TRAN,12W566,C/O,Transmission,F520,F520Transmission,F520TRAN .TRAN,F520Transmission,3030 - TRANSMISSION,00 - (NONE),303000
16,NN500211,20946704,20R3693,TURBOCHARGER;CAT;20R,EA,1,322070,12H554 C/O Transmission,51605716,12H554 C/O Transmission,TRAN .TRAN,12H554,C/O,Transmission,NN50,NN50Transmission,NN50TRAN .TRAN,NN5020R3693Transmission,3030 - TRANSMISSION,00 - (NONE),303000
16,NN500243,20938010,3799145X,AXLE;REAR;SX;CAT;379,EA,1,322029,12R569 C/O Differential & Final Drives,51628625,12R569 C/O Differential & Final Drives,,12R569,C/O,Differential & Final Drives,NN50,NN50Differential & Final Drives,NN50NO MATCH,NN503799145XDifferential & Final Drives,3278 - DRIVE AXLE,00 - (NONE),327800
16,NN500211,,,,,,322019,12H554 C/O Brake LHF,51605663,12H554 C/O Brake LHF,,12H554,C/O,Brake LHF,NN50,NN50Brake LHF,NN50NO MATCH,NN50Brake LHF,4006 - WHEEL & BRAKE ASSEMBLY,LF - LEFT FRONT,4006LF
16,NN500211,,,,,,322019,12H554 C/O Brake RHF,51605665,12H554 C/O Brake RHF,,12H554,C/O,Brake RHF,NN50,NN50Brake RHF,NN50NO MATCH,NN50Brake RHF,4006 - WHEEL & BRAKE ASSEMBLY,RF - RIGHT FRONT,4006RF
16,NN500211,,,,,,322021,12H554 C/O Brake LHR,51605664,12H554 C/O Brake LHR,,12H554,C/O,Brake LHR,NN50,NN50Brake LHR,NN50NO MATCH,NN50Brake LHR,4006 - WHEEL & BRAKE ASSEMBLY,LR - LEFT REAR,4006LR
16,NN500211,,,,,,322021,12H554 C/O Brake RHR,51605666,12H554 C/O Brake RHR,,12H554,C/O,Brake RHR,NN50,NN50Brake RHR,NN50NO MATCH,NN50Brake RHR,4006 - WHEEL & BRAKE ASSEMBLY,RR - RIGHT REAR,4006RR
16,F5200103,20837778,6058770,CYLINDER HYD;STEER;C,EA,1,331055,12W566 C/O Steering Cylinder LH,51657378,12W566 C/O Steering Cylinder LH,STRG .CYLI.SCLH,12W566,C/O,Steering Cylinder LH,F520,F520Steering Cylinder LH,F520STRG .CYLI.SCLH,F5206058770Steering Cylinder LH,4303 - STEERING CYLINDER,LT - LEFT,4303LT
16,F5200103,20837774,6058769,CYLINDER HYD;STEER;C,EA,1,331056,12W566 C/O Steering Cylinder RH,51657379,12W566 C/O Steering Cylinder RH,STRG .CYLI.SCRH,12W566,C/O,Steering Cylinder RH,F520,F520Steering Cylinder RH,F520STRG .CYLI.SCRH,F5206058769Steering Cylinder RH,4303 - STEERING CYLINDER,RI - RIGHT,4303RI
16,NN500211,20837774,6058769,CYLINDER HYD;STEER;C,EA,1,322068,12H554 C/O Steering Cylinder RH,51605715,12H554 C/O Steering Cylinder RH,STRG .CYLI.SCRH,12H554,C/O,Steering Cylinder RH,NN50,NN50Steering Cylinder RH,NN50STRG .CYLI.SCRH,NN506058769Steering Cylinder RH,4303 - STEERING CYLINDER,RI - RIGHT,4303RI
16,NN500211,20837778,6058770,CYLINDER HYD;STEER;C,EA,1,322066,12H554 C/O Steering Cylinder LH,51605714,12H554 C/O Steering Cylinder LH,STRG .CYLI.SCLH,12H554,C/O,Steering Cylinder LH,NN50,NN50Steering Cylinder LH,NN50STRG .CYLI.SCLH,NN506058770Steering Cylinder LH,4303 - STEERING CYLINDER,LT - LEFT,4303LT
16,NN500243,20043606,3657416,CYLINDER HYD;CAT;605,AY,1,322014,12R569 C/O Blade Lift Cylinder LH,51628133,12R569 C/O Blade Lift Cylinder LH,MYHD .CYLI.BLLL,12R569,C/O,Blade Lift Cylinder LH,NN50,NN50Blade Lift Cylinder LH,NN50MYHD .CYLI.BLLL,NN503657416Blade Lift Cylinder LH,5102 - LIFT/HOIST CYLINDER,LT - LEFT,5102LT
16,NN500243,20043606,3657416,CYLINDER HYD;CAT;605,AY,1,322014,12R569 C/O Blade Lift Cylinder RH,51628134,12R569 C/O Blade Lift Cylinder RH,MYHD .CYLI.BLLR,12R569,C/O,Blade Lift Cylinder RH,NN50,NN50Blade Lift Cylinder RH,NN50MYHD .CYLI.BLLR,NN503657416Blade Lift Cylinder RH,5102 - LIFT/HOIST CYLINDER,RI - RIGHT,5102RI
16,NN500243,20217122,4827762X,GEARBOX;SX;CAT;265-6,AY,1,322025,12R569 C/O Circle Drive Gearbox,51628623,12R569 C/O Circle Drive Gearbox,STRU .CHAS.CDGB,12R569,C/O,Circle Drive Gearbox,NN50,NN50Circle Drive Gearbox,NN50STRU .CHAS.CDGB,NN504827762XCircle Drive Gearbox,5207 - CIRCLE DRIVE,00 - (NONE),520700
16,F5200103,,,,,,331023,12W566 C/O Articulation Cylinder LH,51657352,12W566 C/O Articulation Cylinder LH,MYHD .CYLI.ARTL,12W566,C/O,Articulation Cylinder LH,F520,F520Articulation Cylinder LH,F520MYHD .CYLI.ARTL,F520Articulation Cylinder LH,5265 - ARTICULATION CYLINDER,LT - LEFT,5265LT
16,F5200103,,,,,,331023,12W566 C/O Articulation Cylinder RH,51657353,12W566 C/O Articulation Cylinder RH,MYHD .CYLI.ARTR,12W566,C/O,Articulation Cylinder RH,F520,F520Articulation Cylinder RH,F520MYHD .CYLI.ARTR,F520Articulation Cylinder RH,5265 - ARTICULATION CYLINDER,RI - RIGHT,5265RI
16,NN500243,,,,,,322012,12R569 C/O Articulation Cylinder LH,51628131,12R569 C/O Articulation Cylinder LH,MYHD .CYLI.ARTL,12R569,C/O,Articulation Cylinder LH,NN50,NN50Articulation Cylinder LH,NN50MYHD .CYLI.ARTL,NN50Articulation Cylinder LH,5265 - ARTICULATION CYLINDER,LT - LEFT,5265LT
16,NN500243,,,,,,322012,12R569 C/O Articulation Cylinder RH,51628132,12R569 C/O Articulation Cylinder RH,MYHD .CYLI.ARTR,12R569,C/O,Articulation Cylinder RH,NN50,NN50Articulation Cylinder RH,NN50MYHD .CYLI.ARTR,NN50Articulation Cylinder RH,5265 - ARTICULATION CYLINDER,RI - RIGHT,5265RI
18,NN600124,21050056,11R1242,ENGINE;13L;6;CAT;11R,EA,1,271414,12B501 Engine,51412093,12B501 C/O Engine,ENGD,12B501,C/O,Engine,NN60,NN60Engine,NN60ENGD,NN6011R1242Engine,1000 - ENGINE,00 - (NONE),100000
18,NN600124,20946704,20R3693,TURBOCHARGER;CAT;20R,EA,1,271452,12B501 Engine,51412095,12B501 C/O Turbocharger,ENGD .TURB.TURB,12B501,C/O,Turbocharger,NN60,NN60Turbocharger,NN60ENGD .TURB.TURB,NN6020R3693Turbocharger,1052 - TURBOCHARGER,00 - (NONE),105200
18,NN600124,20946712,6271736,AFTERCOOLER;CAT;391-,EA,1,271389,12B501 C/O After Cooler,51412282,12B501 C/O After Cooler,ENGD .INEX.AFCO,12B501,C/O,After Cooler,NN60,NN60After Cooler,NN60ENGD .INEX.AFCO,NN606271736After Cooler,1063 - AFTERCOOLER,00 - (NONE),106300
18,NN600124,20040943,10R3262,"INJECTOR,FUEL;RM;CAT",EA,6,271423,12B501 Engine,51412099,12B501 C/O Fuel Injectors,ENGD .FUEL.INJE,12B501,C/O,Fuel Injectors,NN60,NN60Fuel Injectors,NN60ENGD .FUEL.INJE,NN6010R3262Fuel Injectors,1251 - FUEL INJECTION PUMP,00 - (NONE),125100
18,NN600124,20837741,4944833,RADIATOR;CAT;494-483,EA,1,271420,12B501 C/O Engine Radiator,51412252,12B501 C/O Engine Radiator,ENGD .ENCS.RADI,12B501,C/O,Engine Radiator,NN60,NN60Engine Radiator,NN60ENGD .ENCS.RADI,NN604944833Engine Radiator,1353 - RADIATOR,00 - (NONE),135300
18,NN600124,20401236,3520205,PUMP;WATER;CAT;35202,EA,1,271455,12B501 Engine,51412097,12B501 C/O Water Pump Main,ENGD .WAPU.WAPM,12B501,C/O,Water Pump Main,NN60,NN60Water Pump Main,NN60ENGD .WAPU.WAPM,NN603520205Water Pump Main,1361 - WATER PUMP,00 - (NONE),136100
18,NN600124,,,,,,271416,12B501 C/O Engine Cooling Fan Motor,51412115,12B501 C/O Engine Cooling Fan Motor,MYHD .MOTO.ECFM,12B501,C/O,Engine Cooling Fan Motor,NN60,NN60Engine Cooling Fan Motor,NN60MYHD .MOTO.ECFM,NN60Engine Cooling Fan Motor,1386 - HYDRAULIC FAN MOTOR,00 - (NONE),138600
18,NN600124,20938271,3810675X,TRANSMISSION;SX;CAT;,EA,1,271449,12B501 C/O Transmission,51412320,12B501 C/O Transmission,TRAN .TRAN,12B501,C/O,Transmission,NN60,NN60Transmission,NN60TRAN .TRAN,NN603810675XTransmission,3030 - TRANSMISSION,00 - (NONE),303000
18,NN600124,20938010,3799145X,AXLE;REAR;SX;CAT;379,EA,1,305342,12B501 C/O Axle Assembly Rear,51539440,12B501 C/O Axle Assembly Rear,FDRV .AXAR,12B501,C/O,Axle Assembly Rear,NN60,NN60Axle Assembly Rear,NN60FDRV .AXAR,NN603799145XAxle Assembly Rear,3278 - DRIVE AXLE,00 - (NONE),327800
18,NN600124,21062562,20R9995,BRAKE;ASSY;CAT;20R99,EA,1,271422,12B501 C/O Brake LHF,51412250,12B501 C/O Brake LHF,,12B501,C/O,Brake LHF,NN60,NN60Brake LHF,NN60NO MATCH,NN6020R9995Brake LHF,4251 - SERVICE BRAKE,LF - LEFT FRONT,4251LF
18,NN600124,21062562,20R9995,BRAKE;ASSY;CAT;20R99,EA,1,271437,12B501 C/O Brake LHR,51412091,12B501 C/O Brake LHR,,12B501,C/O,Brake LHR,NN60,NN60Brake LHR,NN60NO MATCH,NN6020R9995Brake LHR,4251 - SERVICE BRAKE,LR - LEFT REAR,4251LR
18,NN600124,21062562,20R9995,BRAKE;ASSY;CAT;20R99,EA,1,271422,12B501 C/O Brake RHF,51412092,12B501 C/O Brake RHF,,12B501,C/O,Brake RHF,NN60,NN60Brake RHF,NN60NO MATCH,NN6020R9995Brake RHF,4251 - SERVICE BRAKE,RF - RIGHT FRONT,4251RF
18,NN600124,21062562,20R9995,BRAKE;ASSY;CAT;20R99,EA,1,271437,12B501 C/O Brake RHR,51412251,12B501 C/O Brake RHR,,12B501,C/O,Brake RHR,NN60,NN60Brake RHR,NN60NO MATCH,NN6020R9995Brake RHR,4251 - SERVICE BRAKE,RR - RIGHT REAR,4251RR
18,NN600124,20837794,4925107,PUMP;CAT;492-5107,EA,1,271432,12B501 C/O Main Hydraulic Pump,51410979,12B501 C/O Main Hydraulic Pump,MYHD .PUMP.MAHP,12B501,C/O,Main Hydraulic Pump,NN60,NN60Main Hydraulic Pump,NN60MYHD .PUMP.MAHP,NN604925107Main Hydraulic Pump,5070 - PISTON PUMP,00 - (NONE),507000
18,NN600124,,,,,,271404,12B501 C/O Blade Tilt Cylinder,51412289,12B501 C/O Blade Tilt Cylinder,MYHD .CYLI.BLTI,12B501,C/O,Blade Tilt Cylinder,NN60,NN60Blade Tilt Cylinder,NN60MYHD .CYLI.BLTI,NN60Blade Tilt Cylinder,5106 - TIP CYLINDER,00 - (NONE),510600
18,NN600124,20217122,4827762X,GEARBOX;SX;CAT;265-6,AY,1,271408,12B501 C/O Circle Drive Gearbox,51412303,12B501 C/O Circle Drive Gearbox,STRU .CHAS.CDGB,12B501,C/O,Circle Drive Gearbox,NN60,NN60Circle Drive Gearbox,NN60STRU .CHAS.CDGB,NN604827762XCircle Drive Gearbox,5207 - CIRCLE DRIVE,00 - (NONE),520700
18,NN600124,,,,,,271406,12B501 C/O Centreshift Cylinder,51412290,12B501 C/O Centreshift Cylinder,MYHD .CYLI.CENT,12B501,C/O,Centreshift Cylinder,NN60,NN60Centreshift Cylinder,NN60MYHD .CYLI.CENT,NN60Centreshift Cylinder,5223 - CENTERSHIFT CYLINDER,00 - (NONE),522300
18,NN600124,20837779,6058789,CYLINDER;CAT;6058789,EA,1,271398,12B501 C/O Articulation Cylinder LH,51412254,12B501 C/O Articulation Cylinder LH,MYHD .CYLI.ARTL,12B501,C/O,Articulation Cylinder LH,NN60,NN60Articulation Cylinder LH,NN60MYHD .CYLI.ARTL,NN606058789Articulation Cylinder LH,5265 - ARTICULATION CYLINDER,LT - LEFT,5265LT
18,NN600124,20837779,6058789,CYLINDER;CAT;6058789,EA,1,271398,12B501 C/O Articulation Cylinder RH,51412286,12B501 C/O Articulation Cylinder RH,MYHD .CYLI.ARTR,12B501,C/O,Articulation Cylinder RH,NN60,NN60Articulation Cylinder RH,NN60MYHD .CYLI.ARTR,NN606058789Articulation Cylinder RH,5265 - ARTICULATION CYLINDER,RI - RIGHT,5265RI
18,NN600124,,,,,,271439,12B501 C/O Ripper Lift Cylinder,51412114,12B501 C/O Ripper Lift Cylinder,MYHD .CYLI.RILI,12B501,C/O,Ripper Lift Cylinder,NN60,NN60Ripper Lift Cylinder,NN60MYHD .CYLI.RILI,NN60Ripper Lift Cylinder,5352 - RIPPER LIFT CYLINDER,00 - (NONE),535200
18,NN600124,,,,,,271403,12B501 C/O Blade Sideshift Cylinder,51412113,12B501 C/O Blade Sideshift Cylinder,MYHD .CYLI.BLSI,12B501,C/O,Blade Sideshift Cylinder,NN60,NN60Blade Sideshift Cylinder,NN60MYHD .CYLI.BLSI,NN60Blade Sideshift Cylinder,5804 - SIDE SHIFT CYLINDER,00 - (NONE),580400
24,E9Z00569,20952164,5875923X,ENGINE;SX;CAT;587592,EA,1,276190,12B564 Engine,51569008,12B564 C/O Engine,ENGD,12B564,C/O,Engine,E9Z0,E9Z0Engine,E9Z0ENGD,E9Z05875923XEngine,1000 - ENGINE,00 - (NONE),100000
24,E9Z00569,21059738,30R0613,TURBOCHARGER;RM;CAT;,EA,1,276187,12B564 Engine,51569003,12B564 C/O Turbocharger LH,ENGD .TURB.TULH,12B564,C/O,Turbocharger LH,E9Z0,E9Z0Turbocharger LH,E9Z0ENGD .TURB.TULH,E9Z030R0613Turbocharger LH,1052 - TURBOCHARGER,LT - LEFT,1052LT
24,E9Z00569,21059747,30R0614,TURBOCHARGER;RM;CAT;,EA,1,276188,12B564 Engine,51569004,12B564 C/O Turbocharger RH,ENGD .TURB.TURH,12B564,C/O,Turbocharger RH,E9Z0,E9Z0Turbocharger RH,E9Z0ENGD .TURB.TURH,E9Z030R0614Turbocharger RH,1052 - TURBOCHARGER,RI - RIGHT,1052RI
24,E9Z00569,21124104,6470751,INJECTOR FUEL;CAT;64,EA,12,276186,12B564 Engine,51569001,12B564 C/O Fuel Injectors,ENGD .FUEL.INJE,12B564,C/O,Fuel Injectors,E9Z0,E9Z0Fuel Injectors,E9Z0ENGD .FUEL.INJE,E9Z06470751Fuel Injectors,1251 - FUEL INJECTION PUMP,00 - (NONE),125100
24,E9Z00569,20952163,4933184F,RADIATOR;SX;CAT;4933,EA,1,269077,12B564 C/O Engine Radiator,51568984,12B564 C/O Engine Radiator,ENGD .ENCS.RADI,12B564,C/O,Engine Radiator,E9Z0,E9Z0Engine Radiator,E9Z0ENGD .ENCS.RADI,E9Z04933184FEngine Radiator,1353 - RADIATOR,00 - (NONE),135300
24,E9Z00569,20555562,20R1859,"PUMP,WATER;RM;CAT;20",EA,1,276189,12B564 Engine,51569005,12B564 C/O Water Pump Main,ENGD .WAPU.WAPM,12B564,C/O,Water Pump Main,E9Z0,E9Z0Water Pump Main,E9Z0ENGD .WAPU.WAPM,E9Z020R1859Water Pump Main,1361 - WATER PUMP,00 - (NONE),136100
24,E9Z00569,20952162,5004282X,TRANSMISSION;SX;CAT;,EA,1,269059,12B564 C/O Transmission,51568998,12B564 C/O Transmission,TRAN .TRAN,12B564,C/O,Transmission,E9Z0,E9Z0Transmission,E9Z0TRAN .TRAN,E9Z05004282XTransmission,3030 - TRANSMISSION,00 - (NONE),303000
24,E9Z00276,20952161,4532043X,"CONVERTER,TORQUE;SX;",EA,1,269058,12D531 C/O Torque Converter,51409363,12D531 C/O Torque Converter,TRAN .TOCO,12D531,C/O,Torque Converter,E9Z0,E9Z0Torque Converter,E9Z0TRAN .TOCO,E9Z04532043XTorque Converter,3101 - TORQUE CONVERTER,00 - (NONE),310100
24,E9Z00569,20923313,20R9025,CONVERTER;TORQUE;RM;,EA,1,269058,12B564 C/O Torque Converter,51568997,12B564 C/O Torque Converter,TRAN .TOCO,12B564,C/O,Torque Converter,E9Z0,E9Z0Torque Converter,E9Z0TRAN .TOCO,E9Z020R9025Torque Converter,3101 - TORQUE CONVERTER,00 - (NONE),310100
24,E9Z00569,20988419,4420688X,AXLE;CAT;4420688X,EA,1,284034,12B564 C/O Axle Assy Rear,51568960,12B564 C/O Axle Assy Rear,FDRV .AXAR,12B564,C/O,Axle Assy Rear,E9Z0,E9Z0Axle Assy Rear,E9Z0FDRV .AXAR,E9Z04420688XAxle Assy Rear,3278 - DRIVE AXLE,RE - REAR,3278RE
24,E9Z00569,20988460,20R9996,BRAKE;CAT;20R9996,EA,1,269014,12B564 C/O Brake LHF,51568966,12B564 C/O Brake LHF,BRAK .SEBR.BTLF,12B564,C/O,Brake LHF,E9Z0,E9Z0Brake LHF,E9Z0BRAK .SEBR.BTLF,E9Z020R9996Brake LHF,4251 - SERVICE BRAKE,LF - LEFT FRONT,4251LF
24,E9Z00569,20988460,20R9996,BRAKE;CAT;20R9996,EA,1,269016,12B564 C/O Brake LHR,51568967,12B564 C/O Brake LHR,BRAK .SEBR.BTLR,12B564,C/O,Brake LHR,E9Z0,E9Z0Brake LHR,E9Z0BRAK .SEBR.BTLR,E9Z020R9996Brake LHR,4251 - SERVICE BRAKE,LR - LEFT REAR,4251LR
24,E9Z00569,20988460,20R9996,BRAKE;CAT;20R9996,EA,1,269014,12B564 C/O Brake RHF,51568969,12B564 C/O Brake RHF,BRAK .SEBR.BTRF,12B564,C/O,Brake RHF,E9Z0,E9Z0Brake RHF,E9Z0BRAK .SEBR.BTRF,E9Z020R9996Brake RHF,4251 - SERVICE BRAKE,RF - RIGHT FRONT,4251RF
24,E9Z00569,20988460,20R9996,BRAKE;CAT;20R9996,EA,1,269016,12B564 C/O Brake RHR,51568970,12B564 C/O Brake RHR,BRAK .SEBR.BTRR,12B564,C/O,Brake RHR,E9Z0,E9Z0Brake RHR,E9Z0BRAK .SEBR.BTRR,E9Z020R9996Brake RHR,4251 - SERVICE BRAKE,RR - RIGHT REAR,4251RR
24,E9Z00569,21100841,30R0975,PUMP;PISTON;RM;CAT;3,EA,1,269050,12B564 C/O Primary Steering Pump,51568991,12B564 C/O Primary Steering Pump,STRG .PUMP.PRSP,12B564,C/O,Primary Steering Pump,E9Z0,E9Z0Primary Steering Pump,E9Z0STRG .PUMP.PRSP,E9Z030R0975Primary Steering Pump,4306 - STEERING PUMP,00 - (NONE),430600
24,E9Z00569,20923257,4421947X,AXLE;SX;CAT;4421947X,EA,1,335144,12B564 Axle Assembly Front,51671660,12B564 C/O Axle Assembly Front,FDRV .AXAF,12B564,C/O,Axle Assembly Front,E9Z0,E9Z0Axle Assembly Front,E9Z0FDRV .AXAF,E9Z04421947XAxle Assembly Front,4313 - STEERING AXLE,00 - (NONE),431300
24,E9Z00569,20833835,4529419,SWIVEL;CAT;4529419,EA,1,269035,12B564 C/O Centre Joint,51568972,12B564 C/O Centre Joint,MYHD .VALV.CEJO,12B564,C/O,Centre Joint,E9Z0,E9Z0Centre Joint,E9Z0MYHD .VALV.CEJO,E9Z04529419Centre Joint,5060 - SWIVEL,00 - (NONE),506000
24,E9Z00569,21100818,30R0977,PUMP;PISTON;RM;CAT;3,EA,1,269031,12B564 C/O Engine Cooling Fan Pump,51568983,12B564 C/O Engine Cooling Fan Pump,MYHD .PUMP.ECFP,12B564,C/O,Engine Cooling Fan Pump,E9Z0,E9Z0Engine Cooling Fan Pump,E9Z0MYHD .PUMP.ECFP,E9Z030R0977Engine Cooling Fan Pump,5070 - PISTON PUMP,00 - (NONE),507000
24,E9Z00569,21100825,30R0974,PUMP;PISTON;RM;CAT;3,EA,1,269032,12B564 C/O Main Hydraulic Pump,51568988,12B564 C/O Main Hydraulic Pump,MYHD .PUMP.MAHP,12B564,C/O,Main Hydraulic Pump,E9Z0,E9Z0Main Hydraulic Pump,E9Z0MYHD .PUMP.MAHP,E9Z030R0974Main Hydraulic Pump,5084 - IMPLEMENT PUMP,00 - (NONE),508400
24,E9Z00276,,,,,,269037,12D531 C/O Blade Tilt Cylinder LH,51409108,12D531 C/O Blade Tilt Cylinder LH,MYHD .CYLI.BLTL,12D531,C/O,Blade Tilt Cylinder LH,E9Z0,E9Z0Blade Tilt Cylinder LH,E9Z0MYHD .CYLI.BLTL,E9Z0Blade Tilt Cylinder LH,5106 - TIP CYLINDER,LT - LEFT,5106LT
24,E9Z00276,,,,,,269037,12D531 C/O Blade Tilt Cylinder RH,51409342,12D531 C/O Blade Tilt Cylinder RH,MYHD .CYLI.BLTR,12D531,C/O,Blade Tilt Cylinder RH,E9Z0,E9Z0Blade Tilt Cylinder RH,E9Z0MYHD .CYLI.BLTR,E9Z0Blade Tilt Cylinder RH,5106 - TIP CYLINDER,RI - RIGHT,5106RI
24,E9Z00276,20952160,4588755X,DRIVE;SX;CAT;4588755,EA,1,269057,12D531 C/O Circle Drive Gearbox Front,51409345,12D531 C/O Circle Drive Gearbox Front,STRU .CHAS.CDGF,12D531,C/O,Circle Drive Gearbox Front,E9Z0,E9Z0Circle Drive Gearbox Front,E9Z0STRU .CHAS.CDGF,E9Z04588755XCircle Drive Gearbox Front,5207 - CIRCLE DRIVE,FR - FRONT,5207FR
24,E9Z00276,20952160,4588755X,DRIVE;SX;CAT;4588755,EA,1,269057,12D531 C/O Circle Drive Gearbox Rear,51409187,12D531 C/O Circle Drive Gearbox Rear,STRU .CHAS.CDGR,12D531,C/O,Circle Drive Gearbox Rear,E9Z0,E9Z0Circle Drive Gearbox Rear,E9Z0STRU .CHAS.CDGR,E9Z04588755XCircle Drive Gearbox Rear,5207 - CIRCLE DRIVE,RE - REAR,5207RE
24,E9Z00260,,,,,,269039,12H476 C/O Centreshift Cylinder,51370255,12H476 C/O Centreshift Cylinder,MYHD .CYLI.CENT,12H476,C/O,Centreshift Cylinder,E9Z0,E9Z0Centreshift Cylinder,E9Z0MYHD .CYLI.CENT,E9Z0Centreshift Cylinder,5223 - CENTERSHIFT CYLINDER,00 - (NONE),522300
24,E9Z00276,,,,,,269041,12D531 C/O Blade Sideshift Cylinder,51409183,12D531 C/O Blade Sideshift Cylinder,MYHD .CYLI.BLSI,12D531,C/O,Blade Sideshift Cylinder,E9Z0,E9Z0Blade Sideshift Cylinder,E9Z0MYHD .CYLI.BLSI,E9Z0Blade Sideshift Cylinder,5229 - BLADE SIDESHIFT CYLINDER,00 - (NONE),522900
24,E9Z00569,,,,,,269042,12B564 C/O Articulation Cylinder LH,51568518,12B564 C/O Articulation Cylinder LH,MYHD .CYLI.ARTL,12B564,C/O,Articulation Cylinder LH,E9Z0,E9Z0Articulation Cylinder LH,E9Z0MYHD .CYLI.ARTL,E9Z0Articulation Cylinder LH,5265 - ARTICULATION CYLINDER,LT - LEFT,5265LT
24,E9Z00569,,,,,,269042,12B564 C/O Articulation Cylinder RH,51568519,12B564 C/O Articulation Cylinder RH,MYHD .CYLI.ARTR,12B564,C/O,Articulation Cylinder RH,E9Z0,E9Z0Articulation Cylinder RH,E9Z0MYHD .CYLI.ARTR,E9Z0Articulation Cylinder RH,5265 - ARTICULATION CYLINDER,RI - RIGHT,5265RI
24,E9Z00256,20923272,605-8762,CYLINDER;CAT;468-043,EA,1,269043,12H526 C/O Ripper Lift Cylinder,51369693,12H526 C/O Ripper Lift Cylinder,MYHD .CYLI.RILI,12H526,C/O,Ripper Lift Cylinder,E9Z0,E9Z0Ripper Lift Cylinder,E9Z0MYHD .CYLI.RILI,E9Z0605-8762Ripper Lift Cylinder,5352 - RIPPER LIFT CYLINDER,00 - (NONE),535200
777,7M602507,21186500,6047338X,ENGINE;ASSY;32L;CAT;,EA,1,314408,06H673 Engine,51566324,06H673 C/O Engine,ENGD,06H673,C/O,Engine,7M60,7M60Engine,7M60ENGD,7M606047338XEngine,1000 - ENGINE,00 - (NONE),100000
777,7M602507,20492970,20R3180,TURBOCHARGER;CAT;20R,EA,1,314510,06H673 Engine,51566326,06H673 C/O Turbocharger LH,ENGD .TURB.TURL,06H673,C/O,Turbocharger LH,7M60,7M60Turbocharger LH,7M60ENGD .TURB.TURL,7M6020R3180Turbocharger LH,1052 - TURBOCHARGER,LT - LEFT,1052LT
777,7M602507,20492971,20R3182,TURBOCHARGER;CAT;20R,EA,1,314514,06H673 Engine,51566327,06H673 C/O Turbocharger RH,ENGD .TURB.TURR,06H673,C/O,Turbocharger RH,7M60,7M60Turbocharger RH,7M60ENGD .TURB.TURR,7M6020R3182Turbocharger RH,1052 - TURBOCHARGER,RI - RIGHT,1052RI
777,7M602507,21124607,6470750,INJECTOR FUEL;CAT;64,EA,12,314417,06H673 Engine,51566332,06H673 C/O Fuel Injectors,,06H673,C/O,Fuel Injectors,7M60,7M60Fuel Injectors,7M60NO MATCH,7M606470750Fuel Injectors,1251 - FUEL INJECTION PUMP,00 - (NONE),125100
777,7M602507,20589073,2955171F,RADIATOR;CAT;2955171,EA,1,314415,06H673 C/O Engine Radiator,51566335,06H673 C/O Engine Radiator,ENGD .ENCS.RADI,06H673,C/O,Engine Radiator,7M60,7M60Engine Radiator,7M60ENGD .ENCS.RADI,7M602955171FEngine Radiator,1353 - RADIATOR,00 - (NONE),135300
